state,last_vid,cur_inf,hostK
0,-1,0,0
0,-1,0,0
0,-1,0,0
0,-1,0,0
0,-1,0,0
0,-1,0,0
0,-1,0,0
0,-1,0,0
0,-1,0,0
0,-1,0,0
0,-1,0,0
0,-1,0,0
0,-1,0,0
0,-1,0,0
0,-1,0,0
0,-1,0,0
0,-1,0,0
0,-1,0,0
0,-1,0,0
0,-1,0,0
0,-1,0,0
0,-1,0,0
0,-1,0,0
0,-1,0,0
0,-1,0,0
0,-1,0,0
0,-1,0,0
0,-1,0,0
0,-1,0,0
0,-1,0,0
0,-1,0,0
0,-1,0,0
0,-1,0,0
0,-1,0,0
0,-1,0,0
0,-1,0,0
0,-1,0,0
0,-1,0,0
0,-1,0,0
0,-1,0,0
0,-1,0,0
0,-1,0,0
0,-1,0,0
0,-1,0,0
0,-1,0,0
0,-1,0,0
0,-1,0,0
0,-1,0,0
0,-1,0,0
0,-1,0,0
0,-1,0,0
0,-1,0,0
0,-1,0,0
0,-1,0,0
0,-1,0,0
0,-1,0,0
0,-1,0,0
0,-1,0,0
0,-1,0,0
0,-1,0,0
0,-1,0,0
0,-1,0,0
0,-1,0,0
0,-1,0,0
0,-1,0,0
0,-1,0,0
0,-1,0,0
0,-1,0,0
0,-1,0,0
0,-1,0,0
0,-1,0,0
0,-1,0,0
0,-1,0,0
0,-1,0,0
0,-1,0,0
0,-1,0,0
0,-1,0,0
0,-1,0,0
0,-1,0,0
0,-1,0,0
0,-1,0,0
0,-1,0,0
0,-1,0,0
0,-1,0,0
0,-1,0,0
0,-1,0,0
0,-1,0,0
0,-1,0,0
0,-1,0,0
0,-1,0,0
0,-1,0,0
0,-1,0,0
0,-1,0,0
0,-1,0,0
0,-1,0,0
0,-1,0,0
0,-1,0,0
0,-1,0,0
0,-1,0,0
0,-1,0,0
0,-1,0,0
0,-1,0,0
0,-1,0,0
0,-1,0,0
0,-1,0,0
0,-1,0,0
0,-1,0,0
0,-1,0,0
0,-1,0,0
0,-1,0,0
0,-1,0,0
0,-1,0,0
0,-1,0,0
0,-1,0,0
0,-1,0,0
0,-1,0,0
0,-1,0,0
0,-1,0,0
0,-1,0,0
0,-1,0,0
0,-1,0,0
0,-1,0,0
0,-1,0,0
0,-1,0,0
0,-1,0,0
0,-1,0,0
0,-1,0,0
0,-1,0,0
0,-1,0,0
0,-1,0,0
0,-1,0,0
0,-1,0,0
0,-1,0,0
0,-1,0,0
0,-1,0,0
0,-1,0,0
0,-1,0,0
0,-1,0,0
0,-1,0,0
0,-1,0,0
0,-1,0,0
0,-1,0,0
0,-1,0,0
0,-1,0,0
0,-1,0,0
0,-1,0,0
0,-1,0,0
0,-1,0,0
0,-1,0,0
0,-1,0,0
0,-1,0,0
0,-1,0,0
0,-1,0,0
0,-1,0,0
0,-1,0,0
0,-1,0,0
0,-1,0,0
0,-1,0,0
0,-1,0,0
0,-1,0,0
0,-1,0,0
0,-1,0,0
0,-1,0,0
0,-1,0,0
0,-1,0,0
0,-1,0,0
0,-1,0,0
0,-1,0,0
0,-1,0,0
0,-1,0,0
0,-1,0,0
0,-1,0,0
0,-1,0,0
0,-1,0,0
0,-1,0,0
0,-1,0,0
0,-1,0,0
0,-1,0,0
0,-1,0,0
0,-1,0,0
0,-1,0,0
0,-1,0,0
0,-1,0,0
0,-1,0,0
0,-1,0,0
0,-1,0,0
0,-1,0,0
0,-1,0,0
0,-1,0,0
0,-1,0,0
0,-1,0,0
0,-1,0,0
0,-1,0,0
0,-1,0,0
0,-1,0,0
0,-1,0,0
0,-1,0,0
0,-1,0,0
0,-1,0,0
0,-1,0,0
0,-1,0,0
0,-1,0,0
0,-1,0,0
0,-1,0,0
0,-1,0,0
0,-1,0,0
0,-1,0,0
0,-1,0,0
0,-1,0,0
0,-1,0,0
0,-1,0,0
0,-1,0,0
0,-1,0,0
0,-1,0,0
0,-1,0,0
0,-1,0,0
0,-1,0,0
0,-1,0,0
0,-1,0,0
0,-1,0,0
0,-1,0,0
0,-1,0,0
0,-1,0,0
0,-1,0,0
0,-1,0,0
0,-1,0,0
0,-1,0,0
0,-1,0,0
0,-1,0,0
0,-1,0,0
0,-1,0,0
0,-1,0,0
0,-1,0,0
0,-1,0,0
0,-1,0,0
0,-1,0,0
0,-1,0,0
0,-1,0,0
0,-1,0,0
0,-1,0,0
0,-1,0,0
0,-1,0,0
0,-1,0,0
0,-1,0,0
0,-1,0,0
0,-1,0,0
0,-1,0,0
0,-1,0,0
0,-1,0,0
0,-1,0,0
0,-1,0,0
0,-1,0,0
0,-1,0,0
0,-1,0,0
0,-1,0,0
0,-1,0,0
0,-1,0,0
0,-1,0,0
0,-1,0,0
0,-1,0,0
0,-1,0,0
0,-1,0,0
0,-1,0,0
0,-1,0,0
0,-1,0,0
0,-1,0,0
0,-1,0,0
0,-1,0,0
0,-1,0,0
0,-1,0,0
0,-1,0,0
0,-1,0,0
0,-1,0,0
0,-1,0,0
0,-1,0,0
0,-1,0,0
0,-1,0,0
0,-1,0,0
0,-1,0,0
0,-1,0,0
0,-1,0,0
0,-1,0,0
0,-1,0,0
0,-1,0,0
0,-1,0,0
0,-1,0,0
0,-1,0,0
0,-1,0,0
0,-1,0,0
0,-1,0,0
0,-1,0,0
0,-1,0,0
0,-1,0,0
0,-1,0,0
0,-1,0,0
0,-1,0,0
0,-1,0,0
0,-1,0,0
0,-1,0,0
0,-1,0,0
0,-1,0,0
0,-1,0,0
0,-1,0,0
0,-1,0,0
0,-1,0,0
0,-1,0,0
0,-1,0,0
0,-1,0,0
0,-1,0,0
0,-1,0,0
0,-1,0,0
0,-1,0,0
0,-1,0,0
0,-1,0,0
0,-1,0,0
0,-1,0,0
0,-1,0,0
0,-1,0,0
0,-1,0,0
0,-1,0,0
0,-1,0,0
0,-1,0,0
0,-1,0,0
0,-1,0,0
0,-1,0,0
0,-1,0,0
0,-1,0,0
0,-1,0,0
